alimento,quantidade,energia (kcal),carboidratos (g),proteinas (g),gorduras (g)
Granola Tradicional,40.0,148.0,23.0,4.1,4.6
Granola Cranberry e Açai,40.0,154.0,28.0,4.3,2.7
Granola Frutas Tropicais,40.0,158.0,23.0,5.0,5.0
Aveia em flocos finos Quaker,30.0,111.0,17.0,4.2,2.3
Tapioca Amifil,20.0,48.0,12.0,0.0,0.0
Arroz polido cozido,100.0,130.0,30.0,2.38,0.41
Banana,100.0,109.0,26.7,1.27,0.19
Brócolis,100.0,26.0,4.44,2.71,0.54
Feijão cozido 50% grão 50% caldo sem óleo,100.0,70.0,15.3,4.77,0.54
Batata doce cozida drenada,100.0,91.0,23.1,0.85,0.18
Batata inglesa cozida drenada,100.0,51.0,12.3,1.33,0.05
Massa de arroz zero glúten Urbano cozida,100.0,173.0,38.0,3.2,0.8
Lentilha cozida 50% grão 50% caldo com óleo,100.0,62.0,10.5,3.79,1.33
Mandioca cozida drenada,100.0,120.0,29.8,0.64,0.24
Mandioca frita,100.0,160.0,39.7,0.9,0.3
Cenoura sem casca crua,100.0,30.0,7.55,1.12,0.21
Farinha de trigo tipo 1 Maria Inês,100.0,347.0,72.0,11.0,1.7
Aveia em flocos Apti,30.0,105.0,17.0,4.2,2.2
Massa de esfiha assada,100.0,269.5,44.0,6.5,7.5
Ketchup Heinz,12.0,11.0,2.4,0.2,0.01
Pipoca estourada,100.0,435.0,70.3,9.93,15.9
Melado,20.0,60.0,15.0,0.0,0.0
Uva passa,100.0,325.0,79.2,3.07,0.46
Pão de sanduíche Leite Sevenboys,50.0,130.0,26.0,4.3,1.0
Capeletti de carne,100.0,301.0,49.0,10.0,7.2
"Caldo da sopa de capeletti – com carne, batata, pts, milho",100.0,100.0,10.0,6.0,4.0
Granola Natural Nutri Wieder,100.0,361.0,52.0,16.0,10.0
Pão francês branco,100.0,299.0,61.6,9.83,2.12
Macarrão com ovos Isabela,100.0,119.0,24.0,4.1,0.7
Espaguete Bella Dica,100.0,132.0,28.0,3.7,0.5
"Pão frutas, grãos e castanhas Nutrella",50.0,141.0,22.0,6.0,3.2
Pão de xis Zaleski,50.0,140.0,29.0,4.2,1.0
Maizena,20.0,70.0,17.0,0.0,0.0
Maçã Fuji,100.0,59.0,15.2,0.29,0.0
Pastel Strogonoff Médio,1.0,478.0,34.0,18.0,30.0
Pastel Carne Médio,1.0,433.0,32.0,20.0,25.0
Mamão polpa in natura,100.0,43.0,10.7,0.57,0.25
Esfiha de carne,2.0,699.53,74.8,40.03,26.79
Pão de milho,100.0,278.0,56.4,8.3,3.11
Espagueti de arroz zero glúten Urbano cozida,100.0,173.0,38.0,3.2,0.8
Pão de sanduíche Benefice Light 7 Grãos,50.0,117.0,19.0,6.8,1.5
Massa Germani parafuso com ovos,100.0,132.0,28.0,3.7,0.5
Massa Parati parufoso com ovos,100.0,206.0,42.0,7.0,0.9
Melão,100.0,24.0,5.7,0.61,0.15
Morango,100.0,29.0,6.54,0.82,0.4
Espaguete Parati Sêmola,100.0,205.0,42.0,7.0,0.8
Cup Noodles carne defumada,1.0,305.0,40.0,8.1,12.0
Cup Noodles bolonhesa,1.0,316.0,40.0,8.8,13.0
Manga polpa in natura,100.0,64.0,16.0,0.53,0.32
Cup Noodles parmegiana,1.0,305.0,39.0,7.7,13.0
Melancia,100.0,29.0,6.53,0.7,0.06
Fatia de pizza Dom Pepe,1.0,180.0,16.0,10.0,9.0
Abacaxi,100.0,49.0,11.6,0.68,0.33
Miojo Nissin lamen sabor picanha,1.0,377.0,50.0,9.5,15.0
,,,,,
,,,,,
Iogurte desnatado Nestlé,160.0,50.0,6.6,5.8,0.0
Iogurte desnatado Danone,160.0,84.0,12.0,8.9,0.0
Iogurte integral Danone,160.0,121.0,10.0,7.5,5.7
Queijo minas frescal zero lactose,50.0,136.0,0.7,11.0,10.0
Queijo minas frescal light Santa Clara,50.0,100.0,0.8,12.0,5.7
Ricota fresca light,30.0,33.0,0.8,5.3,0.9
Ovo,1.0,62.0,0.69,5.2,4.35
Frango grelhado sem óleo,100.0,150.0,0.0,32.0,2.48
